"code" "movie_title" "point"
"463" "39568" "스노우 워커" "8.98"
"464" "73339" "슈퍼배드" "8.98"
"465" "17764" "솔드 아웃" "8.98"
"466" "121788" "내부자들" "8.98"
"467" "34566" "루키" "8.98"
"468" "10741" "연인" "8.98"
"469" "38615" "명탐정 코난: 은빛 날개의 마술사" "8.97"
"470" "34362" "연애소설" "8.97"
"471" "10033" "레이더스" "8.97"
"472" "16906" "서편제" "8.97"
"473" "101901" "변호인" "8.97"
"474" "18050" "마녀 배달부 키키" "8.97"
"475" "129781" "GROW: 인피니트의 리얼 청춘 라이프" "8.97"
"476" "61848" "태양의 노래" "8.97"
"477" "121048" "암살" "8.97"
"478" "91101" "서칭 포 슈가맨" "8.97"
"479" "10489" "미져리" "8.97"
"480" "162471" "더 플랜" "8.97"
"481" "77117" "해피 피트 2" "8.97"
"482" "81890" "진링의 13소녀" "8.97"
"483" "82428" "소스 코드" "8.97"
"484" "18318" "볼케이노" "8.97"
"485" "74565" "스타트렉 다크니스" "8.96"
"486" "74632" "분노의 질주: 언리미티드" "8.96"
"487" "146214" "원피스 필름 골드" "8.96"
"488" "68498" "피아노의 숲" "8.96"
"489" "134772" "눈길" "8.96"
"490" "93236" "초콜렛 도넛" "8.96"
"491" "144938" "씽" "8.96"
"492" "24157" "파니 핑크" "8.96"
"493" "36799" "카" "8.96"
"494" "118917" "인턴" "8.96"
"495" "76455" "리오" "8.96"
"496" "109466" "극장판 포켓몬스터 베스트위시 : 신의 속도 게노세크트, 뮤츠의 각성" "8.95"
"497" "38097" "킹콩" "8.95"
"498" "10029" "죠스" "8.95"
"499" "45130" "앨빈과 슈퍼밴드" "8.95"
"500" "42809" "마음이..." "8.95"
"501" "113315" "그날 본 꽃의 이름을 우리는 아직 모른다" "8.95"
"502" "39809" "밀리언 달러 베이비" "8.95"
"503" "62390" "비투스" "8.95"
"504" "155963" "하이큐!! 승자와 패자" "8.95"
"505" "127398" "가디언즈 오브 갤럭시 VOL. 2" "8.95"
"506" "64129" "디스트릭트 9" "8.95"
"507" "50785" "사랑 후에 남겨진 것들" "8.95"
